complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name,dp
16,0.36,0.3020022291075978,0.6979977708924021,1.0,1.0,True,False,False,False,True,True,False,False,0.7106291712730373,False,False,Hebrew_variant_66,Hebrew,false
8,0.6799999999999999,0.3747668231134946,0.6252331768865054,1.0,1.0,False,True,False,True,False,False,True,True,0.855001502664742,False,False,Hausa_variant_14,Hausa,dp_medium
11,0.56,0.2420228812156624,0.7579771187843375,1.0,1.0,True,False,False,False,True,False,False,False,0.7110494158825887,False,False,Russian_variant_2,Russian,false
19,0.24,0.2876829140243261,0.7123170859756738,0.8,0.8,False,False,False,False,True,True,False,False,0.6786442346673079,False,False,Hebrew_variant_55,Hebrew,false
11,0.56,0.3333149880827009,0.6666850119172991,1.0,1.0,True,False,False,False,False,True,False,False,0.778497349031494,False,False,Hausa_variant_1,Hausa,false
12,0.52,0.2343017836670853,0.7656982163329147,0.75,0.75,False,False,False,False,True,False,False,False,0.6904684987862008,False,False,Russian_variant_8,Russian,false
12,0.52,0.2796499571928754,0.7203500428071246,0.75,0.75,False,False,False,False,True,True,False,False,0.7234316439992222,False,False,Russian_variant_31,Russian,false
19,0.24,0.3805767698461552,0.6194232301538448,0.8,0.8,False,True,False,True,True,False,False,False,0.7545103744420539,False,False,Hebrew_variant_6,Hebrew,nontrivial
19,0.24,0.2461522606947845,0.7538477393052154,0.8,0.8,False,False,False,False,True,False,False,False,0.6437094418788663,False,False,Hebrew_variant_32,Hebrew,false
18,0.28,0.2816541656618113,0.7183458343381888,0.75,0.75,False,False,False,False,False,True,False,False,0.6822923033002904,False,False,Russian_variant_98,Russian,false
13,0.48,0.4315580280783886,0.5684419719216114,1.0,1.0,True,True,False,True,True,False,False,False,0.839186151211705,False,False,Hungarian_variant_48,Hungarian,nontrivial
19,0.24,0.5089008757589981,0.4910991242410019,1.0,1.0,True,True,False,True,False,True,False,False,0.8680880078955593,False,False,Thai_variant_73,Thai,nontrivial
16,0.36,0.4166843838653782,0.5833156161346218,1.0,1.0,True,True,False,True,True,False,False,False,0.8122026840534982,False,False,Hungarian_variant_12,Hungarian,nontrivial
8,0.6799999999999999,0.4234634989693795,0.5765365010306205,1.0,1.0,False,True,False,True,True,True,False,False,0.8936706214089674,False,False,Hausa_variant_67,Hausa,nontrivial
25,0.0,0.439371786197438,0.560628213802562,0.8571428571428571,0.8571428571428571,False,True,False,True,False,True,False,False,0.7891713190157302,False,False,Thai_variant_79,Thai,nontrivial
25,0.0,0.3373407416741444,0.6626592583258556,0.8571428571428571,0.8571428571428571,False,False,False,False,False,True,False,False,0.6985743820215704,False,False,Thai_variant_98,Thai,false
2,0.92,0.453294489680135,0.546705510319865,1.0,1.0,True,True,False,True,True,True,True,True,0.9999782285508682,False,True,sampled_lang_6,sampled_lang_6,dp_medium
25,0.0,0.4934566311782039,0.5065433688217962,0.8571428571428571,0.8571428571428571,False,True,False,True,False,True,False,False,0.8371957998104339,False,False,Thai_variant_19,Thai,nontrivial
25,0.0,0.4521314256608237,0.5478685743391762,0.8571428571428571,0.8571428571428571,False,True,False,True,False,True,False,False,0.8005011617250929,False,False,Thai_variant_37,Thai,nontrivial
16,0.36,0.3684114606825805,0.6315885393174194,1.0,1.0,True,False,False,False,False,True,False,False,0.7695240643239435,False,False,Hungarian_variant_44,Hungarian,false
13,0.48,0.3518272746574375,0.6481727253425624,1.0,1.0,True,False,False,False,True,True,False,False,0.7693830199320344,False,False,Hungarian_variant_68,Hungarian,false
13,0.48,0.3144449458389198,0.6855550541610802,1.0,1.0,True,False,False,False,True,True,False,False,0.7366553806047842,False,False,Hungarian_variant_66,Hungarian,false
19,0.24,0.3458334869279668,0.6541665130720332,0.8,0.8,False,True,False,True,False,False,True,True,0.7266141064667938,False,False,Hungarian_variant_80,Hungarian,dp_medium
11,0.56,0.2077438386083282,0.7922561613916718,0.6666666666666666,0.6666666666666666,False,False,False,False,True,False,False,False,0.6958341843381828,False,False,Hausa_variant_50,Hausa,false
18,0.28,0.2643184969435563,0.7356815030564436,0.5,0.5,False,True,False,True,True,False,False,False,0.6673555954486543,False,False,Russian_variant_60,Russian,nontrivial
16,0.36,0.37176663835093,0.62823336164907,1.0,1.0,True,True,False,True,True,False,True,True,0.7724944021792279,False,False,Hebrew_variant_60,Hebrew,dp_medium
18,0.28,0.3872822311266027,0.6127177688733972,0.5,0.5,False,True,False,True,False,True,False,False,0.7717554771798282,False,False,Russian_variant_13,Russian,nontrivial
17,0.31999999999999995,0.3303342974586269,0.669665702541373,0.3333333333333333,0.3333333333333333,False,True,False,True,False,True,False,False,0.7312572494566336,False,False,Hausa_variant_79,Hausa,nontrivial
15,0.4,0.356616679609636,0.643383320390364,0.75,0.75,False,True,False,True,True,False,False,False,0.7625761853390816,False,False,Russian_variant_54,Russian,nontrivial
19,0.24,0.3124298685979756,0.6875701314020244,1.0,1.0,True,False,False,False,True,True,False,False,0.6992181109082296,False,False,Thai_variant_42,Thai,false
14,0.43999999999999995,0.3380357706943745,0.6619642293056255,0.6666666666666666,0.6666666666666666,False,True,False,True,True,True,False,False,0.7518087764164063,False,False,Hausa_variant_91,Hausa,nontrivial
19,0.24,0.3674136674452773,0.6325863325547227,0.8,0.8,False,True,False,True,True,False,False,False,0.7440256581639579,False,False,Hebrew_variant_54,Hebrew,nontrivial
25,0.0,0.3557654477112001,0.6442345522887999,0.25,0.25,False,True,False,True,True,True,False,False,0.71493441696097,False,False,Basque_variant_18,Basque,nontrivial
18,0.28,0.3959956671549802,0.6040043328450198,0.5,0.5,False,True,False,True,False,True,False,False,0.7789567725093222,False,False,Russian_variant_43,Russian,nontrivial
16,0.36,0.3557962767640888,0.6442037232359111,1.0,1.0,True,False,False,False,False,True,False,False,0.7583504922942672,False,False,Hebrew_variant_1,Hebrew,false
